'년월'	'출발지(야간체류지) 시군코드'	'출발지역명'	'도착지 시군코드'	'도착지역명'	'10대남성 유입인구'	'20대남성 유입인구'	'30대남성 유입인구'	'40대남성 유입인구'	'50대남성 유입인구'	'60대남성 유입인구'	'70대남성 유입인구'	'10대여성 유입인구'	'20대여성 유입인구'	'30대여성 유입인구'	'40대여성 유입인구'	'50대여성 유입인구'	'60대여성 유입인구'	'70대여성 유입인구'
'202005 '	'41820'	'경기도 가평군'	'41270'	'경기도 안산시'	'3.69'	'16.09'	'7.11'	'7.14'	'16.03'	'7.28'	'1.88'	'2.62'	'4.81'	'3.47'	'6.27'	'7.13'	'3.56'	'1.85'
'202005 '	'41830'	'경기도 양평군'	'41270'	'경기도 안산시'	'13.89'	'15.18'	'9.47'	'17.9'	'24.82'	'12.6'	'2.83'	'7.41'	'5.69'	'7'	'7.46'	'14.66'	'4.55'	'5.18'
'202005 '	'46230'	'전라남도 광양시'	'41270'	'경기도 안산시'	'3.21'	'5.94'	'8.68'	'9.16'	'7.45'	'5.88'	'0.68'	'3.19'	'2.98'	'2.82'	'3.03'	'3.31'	'0.99'	'2.98'
'202005 '	'46710'	'전라남도 담양군'	'41270'	'경기도 안산시'	'7.37'	'1.93'	'1.31'	'3.34'	'4.99'	'0.67'	'1.7'	'0.18'	'0.46'	'0'	'0.29'	'1.92'	'1'	'1.73'
'202005 '	'46720'	'전라남도 곡성군'	'41270'	'경기도 안산시'	'2.09'	'1.72'	'0.54'	'1.37'	'2.17'	'0.68'	'0.2'	'0'	'0'	'0'	'0'	'0.89'	'1.53'	'0.36'
'202005 '	'11470'	'서울특별시 양천구'	'41270'	'경기도 안산시'	'56.74'	'100.98'	'224.22'	'299.3'	'322.79'	'127.36'	'24.78'	'64.42'	'62.26'	'84.31'	'114.84'	'116.81'	'46.64'	'20.2'
'202005 '	'11500'	'서울특별시 강서구'	'41270'	'경기도 안산시'	'65.34'	'111.07'	'251.28'	'231.46'	'238.32'	'115.79'	'25.65'	'81.44'	'87.31'	'117.43'	'91.25'	'92.84'	'53'	'20.95'
'202005 '	'29110'	'광주광역시 동구'	'41270'	'경기도 안산시'	'1.86'	'3.92'	'4.81'	'5.59'	'2.7'	'1.49'	'0.98'	'2.95'	'1.76'	'0.9'	'1.36'	'1.54'	'0.32'	'1.38'
'202005 '	'29140'	'광주광역시 서구'	'41270'	'경기도 안산시'	'2.34'	'9.1'	'12.9'	'16.17'	'14.48'	'4.39'	'0.97'	'1.42'	'10.35'	'7.74'	'9.05'	'5.48'	'4.58'	'0.85'
'202005 '	'29155'	'광주광역시 남구'	'41270'	'경기도 안산시'	'2.85'	'5.24'	'5.2'	'6.87'	'8.16'	'2.67'	'1.15'	'8.37'	'4.82'	'4'	'3.93'	'3.84'	'2.39'	'2.44'
